순번,영화명,주연 top50 출연 여부,배급사,수상내역,국적,국적,전국 스크린수,전국 매출액,전국 관객수,장르,경쟁작,가족,공연,공포(호러),기타,다큐멘터리,드라마,멜로/로맨스,뮤지컬,미스터리,범죄,사극,스릴러,애니메이션,액션,어드벤처,전쟁,코미디,판타지,SF,러닝타임,연휴 및 기념일 상영 여부,네티즌 평점,top영화감독 여부,연작,원작,수상,전체관람가,12세관람가,15세관람가,19세관람가,연휴기간 상영여부 (연휴 기간 상영 영화중 점유율 TOP2% (104개정도이고 최저 점유율 대략 17.7%)),연휴기간 상영여부 (연휴 기간 상영 영화중 점유율 TOP5% (260개이고 최저 점유율 대략 7.6%))
16,변호인,1,1,28,1,한국,923 ,82856578300 ,11372451 ,드라마,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,127,0,9,1,0,0,0,0,0,1,0,1,1
17,어벤져스: 인피니티 워,1,1,1,0,미국,2553 ,99919006769 ,11211880 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,149,1,8.96,1,1,0,0,0,1,0,0,1,1
18,어벤져스: 에이지 오브 울트론,1,1,2,0,미국,1843 ,88582586366 ,10494499 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,141,1,8.31,1,1,0,0,0,1,0,0,1,1
19,기생충,1,1,77,1,한국,1948 ,87459829095 ,10313086 ,드라마,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,131,1,8.49,1,0,0,3,0,0,1,0,0,0
20,겨울왕국,0,0,0,0,미국,1010 ,82461504400 ,10296101 ,애니메이션,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,103,0,9.12,1,0,0,0,1,0,0,0,1,1
21,인터스텔라,0,0,10,0,미국,1342 ,82274331200 ,10273803 ,SF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,169,0,9.1,1,0,0,0,0,1,0,0,0,0
22,보헤미안 랩소디,0,1,10,0,미국,936 ,86280975785 ,9948386 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,134,1,9.42,0,0,0,0,0,1,0,0,0,1
23,검사외전,1,1,0,1,한국,1812 ,77252755264 ,9699092 ,범죄,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,126,1,7.94,0,0,0,0,0,0,1,0,1,1
24,엑시트,1,1,13,1,한국,1660 ,79232212162 ,9426051 ,코미디,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,103,1,8.3,0,0,0,0,0,1,0,0,0,0
25,관상,1,1,7,1,한국,1190 ,66005451500 ,9134586 ,사극,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 ,139,1,8.01,1,0,0,0,0,0,1,0,1,1
26,아이언맨 3,1,0,3,0,미국,1381 ,70806191000 ,9001309 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,129,1,8.85,0,1,0,0,0,1,0,0,1,1
27,설국열차,1,1,8,1,한국,1128 ,64016480000 ,8914845 ,SF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,125,0,7.98,1,0,1,0,0,0,1,0,0,0
28,캡틴 아메리카: 시빌 워,1,0,1,0,미국,1991 ,72672111827 ,8677249 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,147,0,8.67,1,1,0,0,0,1,0,0,1,1
29,수상한 그녀,1,1,8,1,한국,692 ,62696639249 ,8656397 ,드라마,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,124,0,9,1,0,0,0,0,0,1,0,1,1
30,해적: 바다로 간 산적,1,1,7,1,한국,838 ,66240631706 ,8646758 ,어드벤처,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 ,129,1,8.27,1,0,0,0,0,1,0,0,1,1
