순번,영화명,주연 top50 출연 여부,배급사,수상내역,국적,국적,전국 스크린수,전국 매출액,전국 관객수,장르,경쟁작,가족,공연,공포(호러),기타,다큐멘터리,드라마,멜로/로맨스,뮤지컬,미스터리,범죄,사극,스릴러,애니메이션,액션,어드벤처,전쟁,코미디,판타지,SF,러닝타임,연휴 및 기념일 상영 여부,네티즌 평점,top영화감독 여부,연작,원작,수상,전체관람가,12세관람가,15세관람가,19세관람가,연휴기간 상영여부 (연휴 기간 상영 영화중 점유율 TOP2% (104개정도이고 최저 점유율 대략 17.7%)),연휴기간 상영여부 (연휴 기간 상영 영화중 점유율 TOP5% (260개이고 최저 점유율 대략 7.6%))
306,터보,1,1,0,0,미국,634 ,13113579000 ,1923748 ,애니메이션,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,95,0,9.04,0,0,0,0,1,0,0,0,0,0
307,#살아있다,1,1,0,1,한국,1882 ,15965329900 ,1903703 ,드라마,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,98,0,4.13,0,0,0,0,0,0,1,0,0,0
308,내안의 그놈,0,0,0,1,한국,1041 ,16293580567 ,1901684 ,판타지,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 ,122,0,8.23,0,0,0,0,0,0,1,0,0,0
309,수어사이드 스쿼드,1,0,2,0,미국,823 ,15873106188 ,1898121 ,액션,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,122,1,6.96,0,0,0,0,0,0,1,0,0,0
310,오늘의 연애,0,1,0,1,한국,709 ,14924654487 ,1891993 ,멜로/로맨스,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 ,118,0,6.64,0,0,0,0,0,0,1,0,0,0
311,글러브,1,0,0,1,한국,605 ,13757574500 ,1888100 ,드라마,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,144,1,8.84,0,0,0,0,1,0,0,0,0,1
312,퍼시 잭슨과 번개 도둑,0,0,0,0,미국,353 ,13372357257 ,1877226 ,판타지,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 ,118,1,6.49,0,0,0,0,0,1,0,0,0,1
313,해결사,1,1,1,1,한국,524 ,14063913437 ,1873327 ,액션,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,100,1,7.56,0,0,0,0,0,0,1,0,0,1
314,연애의 온도,0,1,4,1,한국,567 ,13798864446 ,1865195 ,멜로/로맨스,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 ,112,0,7.47,0,0,0,0,0,0,0,1,0,0
315,아이들...,1,1,2,1,한국,504 ,13562608500 ,1864408 ,범죄,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,132,0,7.88,0,0,0,0,0,0,1,0,0,0
316,마약왕,1,1,0,1,한국,1297 ,16222446942 ,1864076 ,범죄,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,139,1,6.33,0,0,0,0,0,0,0,1,0,1
317,테이큰 3,1,0,0,0,미국,616 ,15088105000 ,1860934 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,112,0,7.87,0,1,0,0,0,0,1,0,0,0
318,코리아,1,1,0,1,한국,537 ,13334762500 ,1857392 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,127,1,8.54,0,0,0,0,0,1,0,0,1,1
319,지.아이.조 2,1,1,1,0,미국,766 ,14457048500 ,1855917 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,110,0,7.08,0,1,0,0,0,0,1,0,0,0
320,노무현입니다,0,0,0,1,한국,775 ,14554935612 ,1854867 ,다큐멘터리,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,109,0,8.91,0,0,0,0,0,1,0,0,0,0
321,집으로 가는 길,0,1,2,1,한국,740 ,13048519745 ,1854625 ,드라마,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,131,0,9.26,0,0,0,0,0,0,1,0,0,0
322,악마를 보았다,1,1,7,1,한국,494 ,14148937025 ,1848418 ,스릴러,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 ,144,0,7.99,0,0,0,0,0,0,0,1,0,0
323,뺑반,1,1,0,1,한국,1285 ,15222811848 ,1826714 ,범죄,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,133,0,5.98,0,0,0,0,0,0,1,0,0,1
324,나의 PS 파트너,0,1,0,1,한국,552 ,13845218616 ,1823116 ,멜로/로맨스,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 ,114,1,8.23,0,0,0,0,0,0,0,1,0,0
325,007 스펙터,0,0,2,0,영국,1105 ,14302132030 ,1820842 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,148,0,7.03,0,1,1,0,0,0,1,0,0,0
326,변신,1,0,0,1,한국,975 ,15417922925 ,1804112 ,공포(호러),3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,113,1,6.74,0,0,0,0,0,0,1,0,0,0
327,강철비2: 정상회담,1,1,0,1,한국,2137 ,14655366110 ,1790797 ,드라마,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,142,1,5,1,1,1,0,0,0,1,0,0,0
328,분노의 질주: 더 맥시멈,1,0,2,0,미국,656 ,13203523042 ,1790457 ,액션,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,130,0,8.8,0,1,0,0,0,0,1,0,0,0
329,저스티스 리그,1,0,0,0,미국,1308 ,14629692795 ,1786386 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,120,0,7.68,0,0,0,0,0,1,0,0,0,0
330,공범,1,1,0,1,한국,611 ,12333110882 ,1766285 ,스릴러,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 ,95,0,7.16,0,0,0,0,0,0,1,0,0,0
331,나를 찾아줘,1,0,6,0,미국,658 ,14017716731 ,1764233 ,스릴러,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 ,149,0,8.3,0,0,1,0,0,0,0,1,0,0
332,대호,1,1,3,1,한국,892 ,13489904632 ,1762742 ,사극,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 ,139,1,8.02,0,0,0,0,0,1,0,0,0,1
333,걸리버 여행기,0,0,0,0,미국,513 ,16441355500 ,1762070 ,코미디,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,87,1,5.73,0,0,1,0,1,0,0,0,1,1
334,주먹왕 랄프 2: 인터넷 속으로,0,1,1,0,미국,1453 ,13877029723 ,1754375 ,애니메이션,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,112,0,8.62,0,1,0,0,1,0,0,0,0,0
335,이미테이션 게임,1,0,5,0,영국,541 ,13654746120 ,1743774 ,드라마,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,114,0,8.79,0,0,0,0,0,0,1,0,0,1
336,전설의 주먹,1,1,0,1,한국,724 ,12732236500 ,1737253 ,드라마,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,153,0,7.56,0,0,0,0,0,0,0,1,0,0
337,제보자,1,0,0,1,한국,676 ,13371522302 ,1735640 ,드라마,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,114,1,8.31,0,0,0,0,0,1,0,0,1,1
338,씽,1,0,0,0,미국,795 ,13257953389 ,1729426 ,애니메이션,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,108,0,8.97,0,0,0,0,1,0,0,0,0,1
339,러브픽션,1,1,2,1,한국,617 ,13200412500 ,1726202 ,멜로/로맨스,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 ,121,0,6.73,0,0,0,0,0,0,1,0,0,0
340,킬러의 보디가드,1,0,0,0,미국,482 ,14020395800 ,1721757 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,118,1,8.4,0,0,0,0,0,0,1,0,0,0
341,언터처블: 1%의 우정,0,1,0,0,프랑스,454 ,12731016000 ,1719772 ,코미디,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,112,0,9.33,0,1,0,0,0,1,0,0,0,0
342,담보,1,1,0,1,한국,1342 ,14749871550 ,1719706 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,113,0,8.93,0,0,0,0,0,1,0,0,1,1
343,평양성,1,1,1,1,한국,451 ,12684530500 ,1717566 ,전쟁,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 ,117,1,7.77,0,0,0,0,0,1,0,0,1,1
344,샌 안드레아스,1,0,0,0,미국,847 ,14411907152 ,1714071 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,114,0,7.61,0,0,0,0,0,1,0,0,0,0
345,파파로티,0,1,1,1,한국,552 ,11808286000 ,1713891 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,127,0,8.3,0,0,0,0,0,0,1,0,0,0
346,쥬만지: 새로운 세계,1,0,0,0,미국,791 ,13814824864 ,1708672 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,118,0,7.89,0,1,0,0,0,1,0,0,0,0
347,쎄시봉,1,1,0,1,한국,829 ,13509581911 ,1707487 ,멜로/로맨스,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 ,122,0,6.15,0,0,0,0,0,0,1,0,0,1
348,토르: 천둥의 신,1,1,1,0,미국,496 ,15985407000 ,1694529 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,112,0,7.32,0,1,0,0,0,1,0,0,0,1
349,콩: 스컬 아일랜드,1,0,0,0,미국,984 ,13951644383 ,1685933 ,액션,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,118,0,7.76,0,1,0,0,0,1,0,0,0,0
350,피끓는 청춘,1,1,1,1,한국,679 ,11688382888 ,1676040 ,코미디,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,121,1,7.63,0,0,0,0,0,0,1,0,0,1
351,23 아이덴티티,0,0,0,0,미국,952 ,13609456135 ,1675798 ,스릴러,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 ,117,0,7.66,0,0,0,0,0,0,1,0,0,0
352,PMC: 더 벙커,1,1,0,1,한국,1081 ,14024838424 ,1671548 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,124,0,5.19,0,0,0,0,0,0,1,0,0,0
353,마다가스카의 펭귄,1,1,0,0,미국,615 ,12498978959 ,1661230 ,애니메이션,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,92,0,8.69,0,0,0,0,1,0,0,0,0,0
354,아이스 에이지 4: 대륙 이동설,0,0,0,0,미국,501 ,12291809704 ,1648070 ,애니메이션,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,92,0,8.24,0,1,0,0,1,0,0,0,0,0
355,공모자들,1,0,1,1,한국,496 ,12240964500 ,1646142 ,범죄,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,111,0,7.02,0,0,0,0,0,0,0,1,0,0
356,그대를 사랑합니다,1,1,1,1,한국,242 ,12005917000 ,1640351 ,드라마,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,118,0,9.33,1,0,0,0,0,0,1,0,0,0
357,임금님의 사건수첩,1,1,0,1,한국,1054 ,12648793723 ,1634403 ,코미디,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,114,1,7.71,0,0,1,0,0,1,0,0,0,1
358,마다가스카3 : 이번엔 서커스다!,0,1,0,0,미국,564 ,12494860000 ,1626704 ,애니메이션,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,94,0,9.01,0,1,0,0,1,0,0,0,0,0
359,걸캅스,0,1,0,1,한국,973 ,13772604134 ,1625037 ,코미디,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,107,0,5.7,0,0,0,0,0,0,1,0,0,0
360,블랙 스완,1,0,9,0,미국,294 ,12484096000 ,1623199 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,108,0,8.71,0,0,0,0,0,0,0,1,0,0
361,분노의 질주: 언리미티드,1,0,0,0,미국,457 ,12292868000 ,1621973 ,스릴러,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 ,130,0,8.96,0,1,0,0,0,0,1,0,0,1
362,우아한 거짓말,1,0,1,1,한국,555 ,11694011300 ,1613392 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,117,0,8.39,0,0,1,0,0,1,0,0,0,0
363,하울링,1,1,0,1,한국,550 ,11765293500 ,1612554 ,범죄,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,114,0,6.77,0,0,0,0,0,0,1,0,0,0
364,두근두근 내 인생,1,1,0,1,한국,629 ,12191623034 ,1611519 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,117,0,7.07,0,0,0,0,0,1,0,0,0,1
365,사자,0,1,1,1,한국,1405 ,12917306145 ,1609737 ,미스터리,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0 ,129,0,6.88,0,0,0,0,0,0,1,0,0,0
366,닥터 두리틀,1,0,0,0,미국,1290 ,13449206760 ,1607082 ,판타지,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 ,101,1,6.63,0,0,0,0,1,0,0,0,0,0
367,스타트렉 다크니스,1,1,0,0,미국,607 ,12964828000 ,1605271 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,132,0,8.96,0,0,0,0,0,1,0,0,0,0
368,창궐,1,1,1,1,한국,1351 ,13275772490 ,1599290 ,사극,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 ,121,0,5.06,0,0,0,0,0,0,1,0,0,0
369,로빈 후드,0,0,0,0,미국,555 ,11746340129 ,1596574 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,140,1,7.3,0,0,0,0,0,0,1,0,0,1
370,더 폰,0,1,2,1,한국,794 ,12309164568 ,1593694 ,스릴러,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 ,114,0,6.79,0,0,0,0,0,0,1,0,0,0
371,성난황소,1,1,0,1,한국,1010 ,13236490737 ,1593386 ,범죄,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,115,0,7.46,0,0,0,0,0,0,1,0,0,0
372,300: 제국의 부활,0,0,0,0,미국,720 ,13395159700 ,1593116 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,102,0,7.17,0,1,0,0,0,0,0,1,0,0
373,라이프 오브 파이,0,0,14,0,미국,392 ,15812506500 ,1588373 ,어드벤처,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 ,127,0,8.86,0,0,1,0,1,0,0,0,0,0
374,무적자,0,0,0,1,한국,416 ,11816488677 ,1571432 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,124,1,5.61,0,0,0,0,0,0,1,0,0,1
375,삼진그룹 영어토익반,0,1,3,1,한국,1616 ,13981700470 ,1571336 ,드라마,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,110,0,8.28,0,0,0,0,0,1,0,0,0,0
376,위플래쉬,0,1,21,0,미국,436 ,12445626245 ,1561815 ,드라마,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,106,0,8.8,0,0,0,0,0,0,1,0,0,0
377,범블비,0,1,0,0,미국,1016 ,13090949707 ,1561643 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,114,1,8.08,0,1,0,0,0,1,0,0,1,1
378,용의자X,1,1,0,1,한국,553 ,11241013000 ,1552055 ,미스터리,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0 ,119,0,7.65,0,0,1,0,0,0,1,0,0,0
379,도어락,0,0,1,1,한국,954 ,12694612486 ,1545442 ,스릴러,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 ,102,1,5.86,0,0,0,0,0,0,1,0,0,0
380,정직한 후보,1,1,1,1,한국,1187 ,12765456530 ,1525718 ,코미디,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,104,0,7.71,0,0,0,0,0,1,0,0,0,0
381,도굴,0,1,0,1,한국,1635 ,13751660410 ,1522046 ,범죄,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,114,1,7.27,0,0,0,0,0,1,0,0,0,0
382,오블리비언,1,0,0,0,미국,634 ,11165841500 ,1515356 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,124,0,8.24,0,0,0,0,0,0,1,0,0,0
383,몬스터 호텔 2,1,0,0,0,미국,686 ,11088271276 ,1515104 ,애니메이션,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,89,1,8.58,0,1,0,0,1,0,0,0,0,1
384,엑소더스: 신들과 왕들,1,0,0,0,미국,865 ,12444133926 ,1511145 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,154,0,7.09,0,0,0,0,0,1,0,0,0,0
385,퍼펙트 게임,0,1,0,1,한국,413 ,11220408500 ,1507084 ,드라마,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,127,1,8.93,0,0,0,0,0,1,0,0,0,1
386,드래곤 길들이기 3,0,0,0,0,미국,971 ,12340610576 ,1506942 ,애니메이션,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,104,1,9.25,0,1,0,0,1,0,0,0,0,1
387,리틀 포레스트,1,0,8,1,한국,884 ,11924818185 ,1505560 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,103,0,8.82,0,0,0,0,1,0,0,0,0,0
388,인디펜던스 데이 : 리써전스,0,0,0,0,미국,926 ,12770879840 ,1500830 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,120,0,7.23,0,1,0,0,0,1,0,0,0,0
389,토이 스토리 3,0,0,7,0,미국,394 ,14556420970 ,1484843 ,가족,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,102,0,9.39,0,1,0,0,1,0,0,0,0,0
390,어스,0,0,0,0,미국,1132 ,12586771104 ,1475087 ,공포(호러),4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,116,0,6.7,0,0,0,0,0,0,1,0,0,0
391,차이나타운,1,0,7,1,한국,551 ,11989400678 ,1472006 ,범죄,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,110,0,6.97,0,0,0,0,0,0,0,1,0,1
392,스윙키즈,0,1,11,1,한국,984 ,12077312892 ,1470753 ,드라마,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,133,1,8.41,0,0,0,0,0,1,0,0,0,1
393,부라더,1,0,9,1,한국,889 ,11590908298 ,1468301 ,코미디,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,102,0,7.27,0,0,0,0,0,1,0,0,0,0
394,해무(海霧),1,1,10,1,한국,584 ,11631310219 ,1466830 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,111,0,6.83,0,0,0,0,0,0,0,1,0,1
395,브레이킹 던 part1,1,1,1,0,미국,636 ,10713863000 ,1462280 ,드라마,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,117,0,7.02,0,1,1,0,0,0,1,0,0,0
396,새미의 어드벤쳐 2,0,1,0,0,벨기에,486 ,10805555000 ,1452872 ,애니메이션,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,92,0,8.6,0,1,0,0,1,0,0,0,0,0
397,위대한 개츠비,1,0,6,0,미국,562 ,10580582143 ,1445124 ,드라마,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,141,1,8.42,0,0,1,0,0,0,1,0,1,1
398,말레피센트 2,0,1,0,0,미국,1108 ,12191395690 ,1444952 ,어드벤처,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 ,119,0,7.04,0,1,0,0,0,1,0,0,0,0
399,인간중독,1,1,5,1,한국,682 ,11284787400 ,1441964 ,멜로/로맨스,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 ,132,1,6.72,0,0,0,0,0,0,0,1,0,0
400,나의 특별한 형제,0,1,5,1,한국,936 ,11835049574 ,1441813 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,114,1,8.94,0,0,0,0,0,1,0,0,0,1
401,다이하드: 굿 데이 투 다이,1,0,0,0,미국,459 ,10825703000 ,1438056 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,96,0,7.11,0,1,0,0,0,0,1,0,0,1
402,탐정 홍길동: 사라진 마을,0,1,0,1,한국,764 ,11483686845 ,1426873 ,드라마,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,125,0,7.75,0,0,0,0,0,0,1,0,1,1
403,런닝맨,0,0,0,1,한국,567 ,10011200500 ,1416053 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,127,0,7.77,0,0,0,0,0,0,1,0,0,0
404,구르믈 버서난 달처럼,1,0,1,1,한국,509 ,10408565262 ,1407681 ,사극,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 ,111,1,6.84,0,0,0,0,0,0,1,0,0,0
405,위대한 쇼맨,1,1,3,0,미국,702 ,11511889500 ,1402809 ,드라마,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,104,0,9.4,0,0,0,0,0,1,0,0,0,1
406,벤허,1,1,0,0,미국,717 ,11405870395 ,1399771 ,어드벤처,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 ,123,0,9.21,0,0,0,0,0,1,0,0,0,1
407,말레피센트,0,0,0,0,미국,554 ,10776965900 ,1397526 ,액션,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,119,1,8.21,0,0,0,0,0,1,0,0,0,1
408,라스트 에어벤더,0,0,0,0,미국,396 ,14078896543 ,1394110 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,103,0,4.75,0,0,0,0,1,0,0,0,0,0
409,기억의 밤,1,0,1,1,한국,751 ,10652346660 ,1387599 ,미스터리,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0 ,109,0,8.18,0,0,0,0,0,0,1,0,0,0
410,골든슬럼버,1,1,0,1,한국,833 ,11412768798 ,1387508 ,범죄,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,108,1,5.17,0,0,1,0,0,0,1,0,1,1
411,램페이지,1,0,0,0,미국,909 ,11951980109 ,1385511 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,107,0,8.28,0,0,0,0,0,1,0,0,0,0
412,해피 데스데이,0,0,0,0,미국,714 ,11003095402 ,1382480 ,공포(호러),3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,83,0,8.19,0,0,0,0,0,0,1,0,0,0
413,폼페이: 최후의 날,0,1,0,0,미국,561 ,10303127700 ,1373873 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,104,0,7.45,0,0,0,0,0,0,1,0,0,0
414,브이아이피,1,0,0,1,한국,996 ,10956621835 ,1373316 ,범죄,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,128,0,6.52,0,0,0,0,0,0,0,1,0,0
415,특별시민,1,1,0,1,한국,1154 ,10494768945 ,1362634 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,130,1,7.38,0,0,0,0,0,0,1,0,0,0
416,퓨리,0,0,0,0,미국,590 ,10367640686 ,1362114 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,134,0,8.66,0,0,0,0,0,0,1,0,0,0
417,포드 V 페라리,1,1,4,0,미국,986 ,11977959920 ,1361794 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,152,0,9.48,0,0,0,0,0,1,0,0,0,0
418,차형사,0,1,0,1,한국,433 ,9752555296 ,1346754 ,코미디,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,110,0,7.46,0,0,0,0,0,0,1,0,0,0
419,은교,1,1,8,1,한국,521 ,9917728000 ,1346274 ,멜로/로맨스,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 ,129,1,7.06,0,0,1,0,0,0,0,1,0,1
420,궁합,1,1,0,1,한국,966 ,10478875438 ,1340117 ,코미디,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,110,0,6.45,0,0,0,0,0,1,0,0,0,0
421,신들의 전쟁,0,1,0,0,미국,525 ,11726682000 ,1338411 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,110,0,6.45,0,0,0,0,0,0,0,1,0,0
422,오션스8,0,0,0,0,미국,837 ,11694325266 ,1335181 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,110,0,7.64,0,1,0,0,0,1,0,0,0,0
423,미스터 고,1,1,2,1,한국,840 ,9337990000 ,1328890 ,코미디,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,132,0,7.76,1,0,0,0,0,1,0,0,0,0
424,굿 다이노,0,0,1,0,미국,814 ,9753434238 ,1328394 ,애니메이션,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,101,0,8.78,0,0,0,0,1,0,0,0,0,0
425,드라큘라: 전설의 시작,0,0,1,0,미국,477 ,10607703908 ,1321751 ,판타지,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 ,92,0,8.04,0,0,0,0,0,0,1,0,0,0
